station,variable,n,mean,median,sd,mad,iqr
Duisburg,annual,73,11.13013698630137,11.17,0.7917482293961273,0.9043859999999991,1.1400000000000006
Duisburg,summer_jja,73,18.55054794520548,18.53,1.125937745480232,1.1267760000000022,1.6499999999999986
Duisburg,winter_djf,74,3.835,4.1,1.671940264057105,1.6456859999999993,2.2674999999999996
Essen,annual,85,10.053647058823529,10.09,0.92581347378146,0.9933419999999998,1.3199999999999985
Essen,summer_jja,85,17.31435294117647,17.23,1.1575121587953636,1.2750359999999992,1.75
Essen,winter_djf,84,2.782380952380952,2.995,1.8486554013352052,1.6901639999999998,2.3499999999999996
Dortmund,annual,55,9.941818181818181,9.93,0.7965901658041555,0.7709519999999993,1.0549999999999997
Dortmund,summer_jja,56,17.288214285714286,17.225,1.0984718428846456,1.1045370000000014,1.4400000000000013
Dortmund,winter_djf,55,2.764181818181818,2.99,1.8628231172953504,1.660512,2.0949999999999998
Arnsberg,annual,108,8.588148148148148,8.684999999999999,0.6244596140846155,0.7264740000000003,0.9824999999999999
Arnsberg,summer_jja,115,15.885826086956522,15.92,0.8343323653105694,0.859908,1.1950000000000003
Arnsberg,winter_djf,112,1.5464285714285715,1.82,1.7298923869789327,1.7865329999999997,2.3825
Brilon,annual,85,7.885529411764706,7.93,0.9643163207094211,0.9785160000000002,1.4399999999999995
Brilon,summer_jja,85,15.32235294117647,15.24,1.1819643124284003,1.3046880000000012,1.7199999999999989
Brilon,winter_djf,85,0.5125882352941177,0.77,1.9529179346259673,1.8087719999999998,2.48
Kahler Asten,annual,113,5.357787610619469,5.24,0.8916364715202788,0.8302559999999993,1.21
Kahler Asten,summer_jja,127,12.66496062992126,12.7,1.1851052287453632,1.2009060000000007,1.545
Kahler Asten,winter_djf,127,-1.969527559055118,-1.85,1.638716521708433,1.4974259999999997,2.005
