"","w6sgq4","cntry","w6age","gndr","eisced","mnactic","hinctnta","netusoft","hincfel","w6sgq11","w6sgq12","w6sgq5","w6wq2","w6wq8","w6sgq22"
"1",5,"AT",70,9,3,6,10,4,1,5,8,6,5,5,2
"2",6,"AT",77,1,3,6,10,5,1,2,8,9,5,6,3
"3",4,"AT",45,2,6,1,77,5,2,5,7,9,5,3,3
"4",4,"AT",59,2,5,1,5,5,2,3,5,8,4,5,3
"5",4,"AT",39,1,5,1,3,5,1,1,10,7,3,5,5
"6",7,"AT",59,1,3,1,77,4,1,4,8,8,3,5,3
"7",4,"AT",69,2,2,6,7,5,1,3,8,5,3,5,2
"8",4,"AT",31,2,6,8,77,5,2,4,6,6,4,2,2
"9",4,"AT",39,2,7,1,6,5,2,3,6,7,5,5,3
"10",3,"AT",24,2,4,2,8,5,3,5,7,10,4,3,2
"11",4,"AT",72,1,7,6,8,5,1,3,5,99,3,5,2
"12",4,"AT",55,1,5,1,7,4,1,3,3,5,5,4,3
"13",2,"AT",70,1,3,6,5,5,2,1,0,9,2,3,5
"14",3,"AT",60,2,4,1,7,5,2,3,3,8,1,3,2
"15",4,"AT",71,1,3,6,7,2,2,2,2,8,3,6,4
"16",3,"AT",52,1,55,1,5,5,2,4,7,6,3,4,4
"17",4,"AT",43,2,3,8,5,5,2,4,5,8,4,4,5
"18",4,"AT",58,1,7,1,8,5,1,3,6,7,5,3,5
"19",3,"AT",51,2,5,1,6,5,1,4,10,8,2,6,3
"20",4,"AT",31,1,3,1,7,4,2,3,7,0,6,5,3
"21",6,"AT",45,2,7,1,8,5,1,4,9,3,4,3,3
"22",4,"AT",57,1,3,99,7,5,3,4,9,3,3,5,4
"23",4,"AT",32,2,3,1,3,5,3,2,2,9,0,0,5
"24",4,"AT",62,2,5,1,3,5,2,3,5,5,4,4,3
"25",5,"AT",48,1,4,1,10,5,1,4,7,6,4,5,3
"26",2,"AT",38,1,7,1,9,5,2,5,10,7,4,4,4
"27",1,"AT",34,1,7,1,77,5,2,3,4,3,1,4,3
"28",4,"AT",51,2,5,1,5,5,1,3,10,10,3,6,2
"29",4,"AT",33,2,6,1,77,5,1,3,7,8,5,5,4
"30",3,"AT",44,1,3,1,9,5,1,2,1,8,1,5,3
"31",4,"AT",35,2,5,1,6,5,1,4,7,8,4,6,2
"32",5,"AT",60,1,7,1,10,5,1,4,7,5,5,6,2
"33",4,"AT",64,2,3,6,1,3,3,3,5,5,5,4,4
"34",4,"AT",33,2,4,1,9,5,1,5,4,8,3,4,4
"35",4,"AT",63,2,5,1,99,5,1,1,2,3,5,6,3
"36",4,"AT",65,2,5,6,3,1,2,5,2,0,0,0,5
"37",3,"AT",58,1,3,1,9,5,2,3,3,1,4,4,3
"38",3,"AT",22,1,4,2,3,5,2,2,2,8,2,5,3
"39",5,"AT",69,1,3,1,9,5,1,2,5,5,1,5,2
"40",4,"AT",56,2,5,1,9,5,1,3,6,99,4,5,4
"41",4,"AT",59,2,6,1,8,5,1,3,3,5,2,6,3
"42",4,"AT",33,2,3,9,4,5,2,4,6,4,2,3,4
"43",2,"AT",36,2,3,1,8,5,1,3,5,9,3,5,3
"44",4,"AT",70,1,7,6,8,5,2,4,9,1,3,5,4
"45",4,"AT",58,1,7,6,10,5,1,3,5,7,5,5,4
"46",4,"AT",83,2,2,6,6,3,1,4,6,5,4,6,3
"47",1,"AT",75,1,3,6,7,3,1,3,5,7,3,6,2
"48",3,"AT",36,1,6,1,5,5,3,4,5,8,2,3,2
"49",3,"AT",22,2,4,2,5,5,2,5,8,7,2,2,4
"50",2,"AT",47,2,3,8,4,5,2,5,10,10,5,4,4
"51",1,"AT",52,1,5,1,9,5,1,3,5,8,3,5,2
"52",4,"AT",70,2,4,6,4,5,1,3,5,9,4,6,3
"53",2,"AT",50,1,3,1,6,4,2,4,8,9,4,5,3
"54",1,"AT",79,1,7,6,4,4,1,4,8,7,4,5,3
"55",4,"AT",25,1,5,2,9,5,1,5,8,7,4,5,4
"56",4,"AT",73,2,2,6,2,4,2,3,5,7,4,5,4
"57",4,"AT",57,1,7,1,8,5,2,4,8,5,2,4,3
"58",2,"AT",46,1,7,1,10,5,1,4,7,4,6,6,4
"59",3,"AT",77,1,5,6,4,3,1,5,9,9,3,5,2
"60",1,"AT",44,2,7,8,7,4,2,4,4,7,5,6,2
"61",3,"AT",43,2,5,8,7,5,2,3,8,3,4,5,3
"62",4,"AT",58,2,3,1,77,5,3,3,8,8,5,2,3
"63",3,"AT",61,1,5,1,6,5,1,4,8,5,3,5,4
"64",4,"AT",70,2,7,6,9,4,1,3,2,5,3,6,2
"65",2,"AT",68,1,5,6,3,5,2,2,1,2,1,5,5
"66",4,"AT",64,1,3,4,4,2,2,5,5,5,3,3,5
"67",3,"AT",60,1,3,1,2,2,3,4,5,6,1,3,4
"68",4,"AT",47,1,7,1,7,5,2,5,9,8,5,4,3
"69",5,"AT",45,1,5,1,8,5,2,3,6,8,2,5,3
"70",2,"AT",60,1,5,1,4,5,2,3,7,7,2,3,3
"71",3,"AT",58,1,5,1,9,5,1,5,10,7,5,5,2
"72",4,"AT",35,2,3,1,2,5,3,5,8,7,4,4,3
"73",4,"AT",62,2,5,1,8,4,1,4,7,10,4,6,1
"74",4,"AT",58,2,5,1,10,5,1,4,8,6,2,4,2
"75",4,"AT",28,2,5,2,2,5,2,4,7,5,5,1,4
"76",2,"AT",59,2,4,1,6,5,3,5,10,5,5,3,4
"77",4,"AT",57,1,5,9,1,5,2,4,9,1,6,5,9
"78",4,"AT",39,2,7,1,9,5,2,3,6,8,3,5,3
"79",3,"AT",29,2,6,1,5,5,1,3,7,3,2,4,5
"80",4,"AT",78,1,5,6,3,2,2,3,0,3,0,2,4
"81",4,"AT",62,1,5,6,5,5,2,3,2,9,6,5,3
"82",1,"AT",66,1,3,6,9,5,1,3,5,9,3,4,3
"83",4,"AT",27,2,7,2,4,5,2,3,5,5,4,6,5
"84",3,"AT",71,2,7,6,10,5,1,4,7,8,4,4,2
"85",3,"AT",57,1,7,1,10,5,1,4,9,9,5,5,2
"86",2,"AT",38,2,7,1,10,5,1,4,7,9,1,6,4
"87",6,"AT",37,2,7,1,4,5,1,3,3,10,5,5,3
"88",6,"AT",66,1,5,1,6,5,1,3,10,8,4,6,4
"89",4,"AT",42,1,5,1,7,5,2,4,8,7,4,5,3
"90",1,"AT",62,1,5,1,6,5,2,5,9,3,3,6,2
"91",4,"AT",54,1,5,1,8,4,1,4,9,2,5,5,3
"92",5,"AT",51,1,7,1,10,5,1,5,8,2,6,6,3
"93",2,"AT",68,1,3,6,6,5,2,5,9,8,5,6,2
"94",4,"AT",68,1,7,8,99,5,1,4,7,8,1,4,3
"95",4,"AT",56,2,7,1,5,5,1,4,5,8,4,5,3
"96",2,"AT",41,1,6,1,7,5,2,3,4,9,4,5,3
"97",5,"AT",28,1,5,1,6,5,1,4,7,7,6,5,4
"98",2,"AT",62,1,5,1,8,5,2,4,9,9,2,5,1
"99",4,"AT",74,2,2,6,7,5,1,4,8,9,5,5,2
"100",3,"AT",65,2,4,6,1,5,4,5,9,9,3,4,3
"101",4,"AT",37,2,7,8,9,5,1,5,8,7,6,5,4
"102",4,"AT",45,2,7,1,9,5,1,4,7,6,4,5,3
"103",4,"AT",26,9,5,9,8,3,1,4,7,3,4,5,3
"104",4,"AT",35,2,7,8,8,5,1,4,6,4,3,5,3
"105",4,"AT",76,1,5,6,3,2,1,4,8,3,4,2,3
"106",2,"AT",53,1,4,1,9,5,1,5,8,4,1,5,3
"107",5,"AT",43,2,6,1,9,5,2,5,8,0,3,3,2
"108",4,"AT",82,1,3,6,8,4,1,2,2,9,3,5,3
"109",3,"AT",38,2,6,2,1,5,3,4,5,9,0,4,3
"110",5,"AT",36,2,6,1,9,5,1,4,6,7,3,5,2
"111",4,"AT",47,2,5,1,6,5,2,5,9,4,5,5,3
"112",4,"AT",50,1,3,1,3,5,3,3,3,8,1,4,4
"113",3,"AT",71,2,4,6,5,5,1,3,8,9,2,4,4
"114",4,"AT",38,2,3,1,10,5,2,3,3,0,5,3,3
"115",4,"AT",33,1,5,1,8,5,2,3,6,5,4,4,3
"116",3,"AT",55,1,5,1,5,5,2,5,10,0,6,4,5
"117",6,"AT",83,2,1,6,2,5,3,2,5,9,2,4,3
"118",6,"AT",64,2,4,6,5,5,2,4,7,5,3,5,3
"119",2,"AT",38,2,7,8,6,5,2,4,8,7,6,3,3
"120",4,"AT",61,2,7,1,77,5,1,4,6,5,0,6,3
"121",4,"AT",32,2,6,1,10,5,1,4,7,3,5,5,2
"122",4,"AT",59,1,3,1,4,5,1,1,5,0,3,5,5
"123",6,"AT",51,1,3,8,8,5,4,1,0,0,3,5,5
"124",1,"AT",64,2,3,6,10,5,1,4,8,7,5,5,2
"125",3,"AT",25,2,3,1,10,5,2,4,8,9,1,0,1
"126",4,"AT",50,1,6,1,10,5,1,1,0,5,3,3,5
"127",5,"AT",42,1,5,1,77,5,2,2,2,6,5,5,4
"128",1,"AT",70,1,7,6,8,5,1,4,4,8,5,5,2
"129",4,"AT",45,2,3,8,5,5,3,3,7,6,4,6,4
"130",4,"AT",65,2,3,6,77,5,1,4,9,9,3,4,3
"131",1,"AT",35,2,6,1,7,5,2,4,10,9,6,4,2
"132",3,"AT",38,1,5,1,7,5,2,2,4,10,4,4,3
"133",6,"AT",76,1,3,6,6,3,2,4,7,7,5,5,2
"134",4,"AT",27,2,5,1,5,5,1,3,5,5,0,4,4
"135",3,"AT",77,1,7,6,9,5,1,4,5,9,3,5,2
"136",5,"AT",42,1,7,1,9,5,1,3,5,3,5,3,3
"137",4,"AT",63,2,3,8,6,5,1,3,8,9,6,5,4
"138",4,"AT",50,2,5,1,9,5,1,4,8,5,4,4,3
"139",3,"AT",55,1,3,1,3,4,2,3,7,9,1,1,1
"140",5,"AT",39,1,3,1,6,5,2,3,6,3,4,3,3
"141",2,"AT",44,2,7,8,7,5,1,3,7,7,3,5,3
"142",4,"AT",62,1,3,1,2,5,2,3,8,8,2,6,2
"143",3,"AT",51,2,5,1,9,5,1,4,8,10,1,4,3
"144",3,"AT",30,1,3,1,9,5,1,4,7,8,2,5,2
"145",4,"AT",67,2,3,6,99,4,2,4,3,5,2,4,2
"146",4,"AT",53,1,7,1,6,5,2,9,2,5,5,4,3
"147",4,"AT",36,1,5,1,6,5,2,2,3,3,6,5,4
"148",5,"AT",42,2,7,1,9,5,2,4,8,4,5,6,2
"149",4,"AT",38,1,3,1,9,4,2,3,5,5,5,5,4
"150",4,"AT",47,2,3,1,8,4,1,3,6,6,4,3,2
"151",4,"AT",48,1,5,1,8,5,3,4,6,3,3,3,3
"152",1,"AT",34,1,5,2,5,5,4,1,0,0,3,6,5
"153",4,"AT",51,2,5,8,99,4,1,3,7,8,6,5,2
"154",6,"AT",65,1,3,3,2,5,2,4,7,7,4,4,4
"155",4,"AT",69,1,3,6,7,4,2,2,5,8,3,6,4
"156",1,"AT",49,1,7,1,77,5,1,1,0,0,0,0,1
"157",3,"AT",67,1,5,1,7,5,1,5,8,10,4,5,1
"158",4,"AT",56,1,3,1,7,5,1,3,3,9,3,5,3
"159",2,"AT",64,1,3,1,7,5,2,3,5,7,4,5,4
"160",3,"AT",34,2,7,1,4,5,1,5,7,10,6,6,2
"161",2,"AT",57,2,7,1,9,5,1,3,9,10,5,4,3
"162",5,"AT",76,1,5,6,4,4,2,1,0,10,3,3,1
"163",4,"AT",22,1,2,2,10,5,1,3,8,2,5,6,5
"164",1,"AT",53,2,3,1,6,5,2,3,7,7,4,5,4
"165",1,"AT",55,1,3,1,5,5,2,2,0,10,3,4,5
"166",6,"AT",70,1,5,6,5,5,2,4,10,7,6,6,4
"167",4,"AT",50,1,4,1,7,5,1,4,8,3,5,4,4
"168",4,"AT",54,1,3,1,10,5,1,4,4,8,3,5,3
"169",5,"AT",51,1,5,1,10,5,1,2,2,6,4,5,4
"170",4,"AT",45,2,7,1,77,5,1,4,8,4,4,5,3
"171",4,"AT",58,1,5,1,5,5,1,4,9,1,5,5,3
"172",4,"AT",64,2,3,6,3,5,2,2,0,4,3,4,4
"173",4,"AT",43,2,7,1,8,5,1,3,3,3,5,5,5
"174",3,"AT",84,1,3,6,3,5,1,5,9,8,4,4,2
"175",3,"AT",51,1,7,1,6,5,2,5,10,8,3,4,2
"176",4,"AT",49,2,3,1,99,5,3,3,8,5,4,5,4
"177",6,"AT",50,2,3,1,5,5,2,5,7,3,5,6,4
"178",3,"AT",30,2,5,1,10,3,1,3,5,8,4,5,3
"179",4,"AT",48,1,6,1,9,5,1,3,7,7,5,5,3
"180",3,"AT",51,2,7,1,3,5,3,3,7,9,4,5,4
"181",3,"AT",35,2,3,1,6,5,2,3,5,7,3,5,4
"182",4,"AT",39,2,5,1,8,5,2,2,3,1,5,4,4
"183",3,"AT",45,2,7,8,8,5,2,4,6,7,4,5,3
"184",4,"AT",38,2,3,1,5,5,2,2,0,5,6,5,5
"185",2,"AT",53,2,7,1,77,5,2,5,8,3,2,1,5
"186",3,"AT",37,1,1,6,1,4,2,3,0,10,6,6,1
"187",2,"AT",44,1,3,1,7,4,1,3,8,5,5,5,4
"188",1,"AT",42,2,7,1,7,5,1,3,8,9,3,6,3
"189",6,"AT",62,1,3,1,4,3,2,3,7,4,5,6,2
"190",4,"AT",58,2,6,1,77,5,2,1,0,5,0,4,5
"191",5,"AT",52,2,3,8,77,5,1,3,5,5,3,3,3
"192",4,"AT",66,1,5,1,9,5,1,4,9,8,5,5,2
"193",4,"AT",41,2,7,1,10,5,1,2,5,7,5,5,2
"194",1,"AT",65,2,3,6,4,5,2,4,9,8,2,5,2
"195",4,"AT",28,2,4,2,9,5,1,5,10,0,1,4,1
"196",6,"AT",71,2,5,6,6,5,1,2,1,6,4,5,5
"197",6,"AT",54,1,7,1,6,5,1,3,7,8,4,5,2
"198",3,"AT",41,2,5,1,8,5,2,5,7,7,4,3,3
"199",4,"AT",49,2,5,1,8,5,1,4,8,2,3,5,3
"200",1,"AT",61,1,3,9,1,5,4,3,8,5,3,4,4
"201",3,"AT",34,1,6,1,1,5,1,3,2,9,4,6,2
"202",1,"AT",73,1,7,6,8,5,1,5,8,10,4,2,3
"203",1,"AT",84,1,7,6,7,5,1,5,10,8,6,6,1
"204",4,"AT",75,1,5,6,8,5,2,3,5,3,1,5,3
"205",4,"AT",85,1,5,6,6,5,1,4,4,7,4,5,4
"206",4,"AT",29,2,5,2,5,5,1,3,5,3,2,3,4
"207",5,"AT",56,2,4,1,8,5,2,4,8,7,6,5,3
"208",1,"AT",51,2,7,1,9,5,1,4,8,9,4,5,2
"209",2,"AT",72,2,6,6,6,5,1,4,10,2,5,5,3
"210",4,"AT",75,2,5,6,99,4,9,3,7,3,6,6,3
"211",2,"AT",68,2,6,1,9,5,2,4,8,7,4,4,3
"212",4,"AT",39,1,7,1,5,5,1,4,5,5,5,4,4
"213",4,"AT",74,2,3,6,6,5,2,3,7,9,3,5,4
"214",5,"AT",37,2,7,1,10,4,1,4,9,5,4,5,2
"215",4,"AT",61,1,5,1,7,5,1,5,10,8,1,6,1
"216",4,"AT",73,2,7,6,9,5,1,3,8,10,3,3,3
"217",4,"AT",54,2,5,1,10,5,1,3,8,3,2,5,2
"218",4,"AT",30,1,3,1,77,4,2,2,6,8,2,6,4
"219",4,"AT",44,1,7,1,8,5,2,2,8,4,4,4,3
"220",5,"AT",87,2,7,6,1,5,2,3,4,5,4,5,2
"221",5,"AT",40,2,7,1,77,5,1,3,7,6,2,5,3
"222",5,"AT",48,2,5,1,8,5,1,4,8,3,4,6,3
"223",4,"AT",65,1,6,6,7,3,2,3,5,5,4,5,3
"224",5,"AT",68,2,2,8,8,5,1,4,7,10,4,3,3
"225",1,"AT",59,2,7,3,1,5,4,5,10,5,1,2,3
"226",1,"AT",65,1,7,1,77,5,1,4,3,6,4,4,3
"227",3,"AT",56,2,4,1,8,5,1,3,7,10,4,5,2
"228",5,"AT",55,1,7,1,10,5,1,4,6,4,4,5,3
"229",2,"AT",52,1,7,1,9,5,1,4,9,3,5,5,2
"230",4,"AT",51,2,5,1,10,4,1,3,7,6,4,4,4
"231",2,"AT",60,2,6,1,10,5,1,4,5,5,3,4,4
"232",3,"AT",36,1,7,1,10,5,1,5,7,10,4,6,1
"233",4,"AT",50,1,3,1,7,4,2,2,8,3,4,4,4
"234",3,"AT",35,2,6,1,9,5,1,4,7,10,3,6,1
"235",3,"AT",78,1,4,6,3,3,1,2,0,2,0,1,5
"236",1,"AT",28,1,4,2,77,5,1,3,6,10,3,6,3
"237",3,"AT",70,2,5,6,2,5,2,4,10,8,1,5,2
"238",1,"AT",63,1,3,6,8,5,2,2,1,10,5,5,2
"239",1,"AT",46,2,6,1,8,5,2,5,7,5,3,4,3
"240",4,"AT",46,1,3,1,4,5,2,2,8,6,4,2,5
"241",4,"AT",55,2,5,1,5,5,2,3,9,7,2,3,4
"242",3,"AT",27,2,7,1,4,5,1,4,7,8,3,6,4
"243",4,"AT",68,1,5,1,8,5,1,4,9,0,5,5,3
"244",4,"AT",45,2,5,8,4,4,1,2,9,9,5,5,3
"245",4,"AT",77,1,6,6,8,5,2,1,0,8,5,5,3
"246",4,"AT",24,1,3,1,7,5,2,4,5,6,5,6,3
"247",1,"AT",71,2,5,6,9,5,1,4,7,9,6,6,3
"248",4,"AT",44,2,2,8,5,5,1,2,0,5,4,6,5
"249",4,"AT",42,2,5,1,77,4,1,3,8,5,5,5,3
"250",3,"AT",37,1,7,1,3,5,1,5,8,6,5,6,1
"251",2,"AT",70,2,7,6,7,5,1,3,7,6,4,4,4
"252",3,"AT",58,2,5,1,4,5,1,3,5,5,5,4,5
"253",4,"AT",32,2,6,1,9,5,2,4,10,4,4,5,4
"254",4,"AT",52,2,7,1,4,5,3,3,8,7,4,3,4
"255",6,"AT",66,1,3,4,7,5,1,2,5,9,3,6,3
"256",3,"AT",27,2,5,1,10,5,1,4,10,10,4,4,4
"257",1,"AT",66,1,3,6,77,5,2,4,8,8,4,6,4
"258",4,"AT",58,2,5,1,77,5,1,3,5,5,5,5,3
"259",1,"AT",82,2,3,9,10,5,1,3,8,8,4,4,4
"260",3,"AT",29,2,5,1,5,4,2,5,10,9,2,3,3
"261",4,"AT",74,1,5,6,99,5,2,4,9,9,5,5,4
"262",3,"AT",28,2,5,2,8,5,2,3,5,4,3,6,4
"263",3,"AT",44,1,7,1,9,5,1,3,7,6,4,6,2
"264",4,"AT",46,1,6,4,2,5,2,2,3,1,2,3,5
"265",4,"AT",56,2,3,1,6,5,2,4,7,1,4,4,4
"266",1,"AT",42,2,3,1,6,5,2,3,5,10,3,3,3
"267",3,"AT",81,1,7,6,4,5,2,2,7,8,5,4,4
"268",4,"AT",32,1,5,1,77,5,2,4,9,9,2,4,3
"269",4,"AT",53,1,7,1,10,5,1,1,0,8,5,6,3
"270",5,"AT",46,1,7,1,10,5,1,4,7,5,5,4,4
"271",1,"AT",62,2,5,1,99,5,2,2,4,8,2,3,3
"272",4,"AT",58,1,5,1,77,5,2,1,0,0,3,1,5
"273",4,"AT",59,1,4,1,6,5,1,5,5,7,3,1,5
"274",2,"AT",63,2,3,1,5,2,1,4,8,9,3,6,2
"275",4,"AT",38,2,3,1,7,5,3,2,5,2,4,1,5
"276",6,"AT",78,1,3,6,5,4,2,3,7,99,5,4,4
"277",4,"AT",63,1,5,1,10,4,1,3,5,8,4,5,4
"278",6,"AT",65,1,3,6,5,5,2,4,6,8,4,5,3
"279",4,"AT",48,2,6,1,5,5,3,2,5,10,3,3,5
"280",4,"AT",29,1,3,1,4,5,2,3,3,6,4,5,2
"281",5,"AT",69,1,5,1,10,5,1,2,5,7,3,4,3
"282",2,"AT",25,1,4,2,10,5,1,5,8,7,4,6,3
"283",4,"AT",74,1,5,6,8,5,1,4,9,10,1,6,2
"284",5,"AT",67,1,3,1,5,5,1,5,10,5,5,6,3
"285",2,"AT",36,1,7,9,1,4,1,3,5,8,2,2,1
"286",4,"AT",66,1,3,6,7,5,1,2,5,10,4,5,2
"287",3,"AT",24,1,5,7,77,5,2,4,7,3,1,6,2
"288",3,"AT",39,2,7,1,8,5,1,4,8,2,4,5,2
"289",4,"AT",35,1,6,1,3,5,2,3,9,9,1,5,4
"290",4,"AT",56,2,7,1,10,5,2,4,7,2,5,4,4
"291",4,"AT",62,1,5,1,9,5,1,9,1,10,4,4,3
"292",4,"AT",36,2,7,8,3,4,3,3,5,3,5,6,4
"293",3,"AT",37,2,7,9,99,5,9,3,1,4,5,5,4
"294",2,"AT",41,2,5,8,7,5,1,4,6,9,5,6,3
"295",3,"AT",35,2,6,1,5,5,1,3,7,10,1,6,1
"296",4,"AT",26,2,6,1,7,5,2,4,8,8,3,5,4
"297",4,"AT",32,2,7,1,8,5,1,3,9,6,5,5,3
"298",3,"AT",34,1,7,1,10,5,1,5,7,8,4,5,3
"299",1,"AT",66,2,3,6,4,4,3,3,5,1,2,3,3
"300",1,"AT",66,2,3,6,6,4,2,3,7,7,4,6,5
"301",6,"AT",48,2,5,99,5,5,3,3,8,10,3,4,5
"302",4,"AT",63,1,5,1,8,5,1,4,8,3,5,5,4
"303",4,"AT",66,1,4,1,10,5,1,3,2,6,1,5,3
"304",5,"AT",31,1,4,1,77,5,1,5,9,9,4,5,1
"305",4,"AT",62,1,5,1,77,5,1,3,8,5,3,5,3
"306",3,"AT",34,1,5,1,3,5,2,5,6,4,5,3,1
"307",1,"AT",42,2,5,1,4,5,2,4,5,8,3,4,3
"308",4,"AT",66,2,6,1,4,5,2,4,8,9,3,6,3
"309",1,"AT",43,1,6,1,9,5,1,4,5,8,4,5,2
"310",4,"AT",68,2,3,6,3,5,1,3,5,99,5,6,3
"311",7,"AT",35,2,7,1,10,5,1,4,4,7,3,4,2
"312",1,"AT",53,1,5,1,3,5,1,4,10,10,4,6,2
"313",4,"AT",75,1,3,6,6,4,2,3,0,7,5,5,3
"314",6,"AT",64,2,6,1,77,5,1,3,7,9,3,5,3
"315",1,"AT",64,1,7,1,10,4,1,4,8,8,4,4,3
"316",4,"AT",37,2,7,8,10,5,1,3,5,4,4,6,1
"317",4,"AT",52,1,3,1,77,3,2,3,3,10,6,6,4
"318",4,"AT",56,1,5,1,8,5,2,3,5,5,2,2,5
"319",2,"AT",58,1,6,1,9,5,1,5,8,1,5,5,2
"320",4,"AT",46,1,3,1,6,5,1,4,7,5,5,6,3
"321",5,"AT",40,1,6,1,8,5,2,3,7,6,2,4,5
"322",5,"AT",60,1,5,1,5,5,2,3,6,8,4,6,3
"323",4,"AT",40,1,7,1,10,5,1,2,3,6,1,5,3
"324",1,"AT",73,1,7,6,77,5,2,3,8,8,4,4,3
"325",4,"AT",27,1,3,1,7,5,2,3,7,7,4,4,4
"326",1,"AT",42,1,5,1,10,5,1,3,8,0,5,6,2
"327",1,"AT",62,1,3,6,5,5,2,4,1,10,5,5,5
"328",4,"AT",54,1,4,1,9,5,2,3,8,4,5,5,4
"329",1,"AT",85,1,3,6,8,3,1,4,5,10,1,3,3
"330",4,"AT",74,2,7,6,77,4,2,3,7,5,3,5,3
"331",3,"AT",28,2,3,3,9,5,4,4,6,10,2,3,3
"332",3,"AT",46,1,3,1,3,5,2,1,0,9,3,6,5
"333",4,"AT",80,1,5,6,7,5,2,3,7,9,4,5,2
"334",4,"AT",30,2,5,9,3,5,2,3,3,6,3,5,4
"335",3,"AT",45,1,3,99,99,4,9,3,0,3,0,6,3
"336",6,"AT",66,1,7,6,5,5,1,3,2,9,2,4,4
"337",2,"AT",28,1,6,2,9,5,1,3,6,8,5,5,3
