term,walking_OR,walking_p,bicycle_OR,bicycle_p,pt_OR,pt_p,ev_OR,ev_p
(Intercept),0.694,0.0436,0.474,1e-4,0.407,0,0,0
cntryBE,0.533,0,2.254,0,0.444,0,2.615,0
cntryCZ,1.247,0.0707,0.484,0,1.421,9e-4,0.648,0.0111
cntryFI,2.317,0,0.863,0.1141,0.432,0,2.477,0
cntryFR,0.838,0.1064,0.449,0,0.244,0,1.119,0.3235
cntryGB,1.322,0.0076,0.214,0,0.48,0,1.3,0.0226
cntryHU,2.426,0,2.802,0,1.109,0.5718,0.238,0
cntryIS,0.928,0.5459,0.651,2e-4,0.137,0,5.429,0
cntryPL,1.312,0.0438,0.449,0,0.626,4e-4,0.197,0
cntryPT,0.826,0.1658,0.105,0,0.491,0,0.679,0.0185
cntrySI,0.673,2e-4,0.34,0,0.166,0,0.392,0
w6age_c,1.003,0.3196,0.993,0.0215,0.998,0.4128,1.003,0.2885
I(w6age_c^2),1,0.2117,0.999,0,1.001,0,0.999,0
gndrmale,0.783,0,1.215,0.0012,0.628,0,1.162,0.0131
mnacticeducation,0.617,0.0021,1.814,1e-4,3.69,0,136379.5,0
mnactichousework,0.308,0,0.836,0.1723,0.898,0.4327,161186.058,0
mnacticpaid_work,0.313,0,0.653,0,1.449,0,126464.792,0
mnacticretired,0.726,0.0019,0.996,0.9709,1.232,0.0618,171942.911,0
mnacticsick_disabled,0.401,0,0.202,0,1.6,0.0067,132584.418,0
mnacticunemployed_looking,0.575,0.0025,0.92,0.6875,1.355,0.1205,190896.583,0
mnacticunemployed_not_looking,0.71,0.0263,1.296,0.1314,2.748,0,262552.466,0
hinctnta.L,0.462,0,0.637,3e-4,0.528,0,1.732,1e-4
hinctnta.Q,1.431,0.0011,1.361,0.01,1.563,1e-4,2.356,0
hinctnta.C,0.727,0.0026,0.616,0,0.948,0.6269,0.919,0.534
hinctnta^4,1.493,1e-4,1.261,0.0278,1.425,7e-4,0.638,1e-4
hinctnta^5,0.908,0.32,0.625,0,0.752,0.0042,2.536,0
hinctnta^6,1.482,0,1.379,0.0012,1.096,0.3635,0.457,0
hinctnta^7,1.016,0.8639,0.68,1e-4,0.955,0.6416,1.201,0.107
hinctnta^8,0.947,0.556,1.11,0.2876,0.864,0.1285,1.095,0.4372
hinctnta^9,1.13,0.1662,0.705,2e-4,1.12,0.2192,0.977,0.8287
hincfel.L,0.869,0.3577,0.378,0,1.314,0.0647,0.517,0.0087
hincfel.Q,1.11,0.3713,0.689,0.0238,1.014,0.9034,0.613,0.0105
hincfel.C,1.126,0.1608,0.748,0.0045,0.829,0.0205,0.648,2e-4
w6sgq11,1.378,0,1.515,0,1.453,0,1.065,0.1057
w6sgq12,0.974,0.0737,0.987,0.3939,0.971,0.0528,1.032,0.0401
w6sgq5,1.131,0,1.139,0,1.314,0,0.984,0.1333
w6wq2,0.946,0.0118,0.969,0.1647,0.882,0,1.029,0.2203
w6wq8,1.055,0.0304,1.006,0.8275,0.903,0,1.02,0.4421
w6sgq22,0.882,0,0.758,0,0.863,0,0.835,0
